1,2,2,2
2,33,0,0
3,59,0,0
4,0,0,44
5,0,18,0
6,0,0,79
7,8,8,8
8,0,0,10
9,6,6,6
10,0,2,0
11,4,4,4
12,255,255,255
13,106,106,106
14,3,0,0
15,0,25,0
16,0,44,0
17,0,0,255
18,0,0,14
19,59,59,59
20,0,33,0
21,0,0,0
22,4,0,0
23,18,18,18
24,255,0,0
25,0,59,0
26,0,0,8
27,0,1,0
28,0,0,59
29,0,0,2
30,142,0,0
31,33,33,33
32,10,0,0
33,0,10,0
34,0,3,0
35,0,0,4
36,6,0,0
37,0,106,0
38,14,0,0
39,44,0,0
40,44,44,44
41,0,8,0
42,0,0,18
43,190,190,190
44,0,255,0
45,0,0,0
46,10,10,10
47,0,0,0
48,0,0,106
49,25,0,0
50,142,142,142
51,190,0,0
52,0,4,0
53,79,79,79
54,0,0,3
55,14,14,14
56,0,79,0
57,0,6,0
58,1,0,0
59,0,0,190
60,0,190,0
61,0,0,1
62,0,0,25
63,2,0,0
64,0,14,0
65,25,25,25
66,1,1,1
67,79,0,0
68,106,0,0
69,8,0,0
70,0,0,0
71,0,142,0
72,0,0,142
73,3,3,3
74,0,0,6
75,18,0,0
76,0,0,33
